FEOR,Foglalkozás megnevezése,2019,2020,2021,2022,2023
5123,Telefonos (multimédiás) értékesítési ügynök,265932,297711,321934,386395,429082
5129,"Egyéb, máshova nem sorolható kereskedelmi foglalkozású",269630,298617,322408,374523,431901
5131,Vendéglõs ,228388,242259,258752,310706,364403
5132,Pincér,223559,233229,250847,302343,346703
5133,Pultos,206031,213891,227421,273315,315984
5134,Szakács,233480,249720,264747,319059,370112
5135,Cukrász,223709,237233,252218,300332,347642
5211,Fodrász,211977,228661,239946,284450,325509
5212,Kozmetikus,206159,218181,232095,279975,323149
5213,"Manikûrös, pedikûrös",196485,215434,225751,265307,312137
5219,Egyéb személyi szolgáltatási foglalkozású,267397,269363,283416,348484,399760
5221,"Gyermekfelügyelõ, dajka",223820,242618,256844,312726,366336
5222,"Segédápoló, mûtõssegéd",277389,354645,388702,467034,507764
5223,Házi gondozó,211946,242155,248852,298952,341607
5229,Egyéb személygondozási foglalkozású,208747,259671,282292,348782,420558
5231,"Kalauz, menetjegyellenõr",375492,420842,434871,530265,596588
5232,"Utaskísérõ (repülõn, hajón)",289042,290463,364880,461132,741293
5233,Idegenvezetõ,250240,274696,293864,373888,428831
5241,Vezetõ takarító,277804,294755,322103,399550,473807
5242,Házvezetõ,236027,245460,257741,327946,404727
5243,Épületgondnok ,253978,275610,296841,349198,408284
5251,Rendõr,532231,547014,556037,888420,727016
5252,Tûzoltó,390164,401763,420426,562260,594518
5253,Büntetés-végrehajtási õr,450990,475531,474777,761941,666392
5254,"Vagyonõr, testõr",263471,286169,308725,364010,421901
5255,Természetvédelmi õr,352401,364461,395268,404818,477217
5256,Közterület-felügyelõ,321623,344516,376347,442176,521943
5259,Egyéb személy- és vagyonvédelmi foglalkozású,341098,354926,374978,486082,528725
5291,Jármûvezetõ-oktató,248471,295237,310972,367022,416162
5292,"Hobbiállat-gondozó, -kozmetikus",249911,256682,282712,335191,381956
5293,Temetkezési foglalkozású,240166,254813,278252,322582,377422
5299,"Egyéb, máshova nem sorolható szolgáltatási foglalkozású",281641,298313,315657,373218,438984
6111,Szántóföldinövény-termesztõ,210423,235405,250613,294169,338686
6113,Zöldségtermesztõ,153344,182782,205212,263017,289492
6114,"Szõlõ-, gyümölcstermesztõ",221592,242850,258252,297056,346396
6115,"Dísznövény-, virág- és faiskolai kertész, csemetenevelõ",211410,229390,242749,293626,344068
6116,Gyógynövénytermesztõ,217236,230392,271091,340728,410689
6119,Egyéb növénytermesztési foglalkozású,213898,234515,253613,296082,353031
6121,"Szarvasmarha-, ló-, sertés-, juhtartó és -tenyésztõ ",269234,295444,316888,365588,430960
6122,Baromfitartó és -tenyésztõ,253616,275605,297498,355279,425949
6124,Kisállattartó és -tenyésztõ,275893,287210,306981,360025,422351
6130,Vegyes profilú gazdálkodó,225656,245957,236697,267333,307639
6211,Erdészeti foglalkozású,164935,170140,188670,233276,285304
6212,Fakitermelõ (favágó),209450,228448,244405,296805,346035
6220,Vadgazdálkodási foglalkozású,219285,236909,250114,293606,339774
6230,Halászati foglalkozású,249963,274881,303960,349051,408306
7111,Húsfeldolgozó,249756,280557,301377,345517,400207
7112,"Gyümölcs- és zöldségfeldolgozó, -tartósító",250272,272483,286799,334418,398414
7113,"Tejfeldolgozó, tejtermékgyártó",321743,347053,373389,431724,500781
